Місто,Район,Вулиця,ЖК,Клас ЖК,Однокімнатні квартири,Площа від,Ціна за м2 в грн,Ціна за м2 в дол,Двохкімнатні квартири,Площа від,Ціна за м2 в грн,Ціна за м2 в дол,Трьохкімнатні квартири,Площа від,Ціна за м2 в грн,Ціна за м2 в дол,Рік побудування,Метро,Навчальні заклади,Лікарня,"ТЦ, ринок, магазини",Паркові зони,Транспортна розв'язка,Школа,Дитячий садок,URL
Київ,метро Поштова площа,Подільський,ЖК Illinsky House (Іллінський Хаус),Клас бізнес,3 квартири,від 101.65 м²,від 3 420 $ за м²,від 354 759 $,4 квартири,від 101.65 м²,від 3 420 $ за м²,від 354 759 $,14 квартир,від 101.65 м²,від 3 420 $ за м²,від 354 759 $,None,Поштова площа 10 хв Контрактова площа 13 хв Тараса Шевченка 26 хв ,"4 хв Школа ""Поло ТБ"" 4 хв Києво-Могилянська бізнес-школа 4 хв Київський Міжнародний Інститут Соціології",2 хв Клініка святого Даміана Цілителя 4 хв Хірургічне відділення №2 на базі клінічної лікарні №15 5 хв Клінічна лікарня №15,"9 хв Магазин біжутерії ""Бусики"" 13 хв Магазин взуття  ""Gold Imperia fashion""",6 хв Іллінський сквер 13 хв Зона для прогулянок 7-а Пристань,10 хв ст. м. Контрактова площа,,,https://dom.ria.com/uk/novostroyka-zhk-illinsky-house-6775/
Київ,метро Сирець,Подільський,ЖК Варшавський 2,Клас економ,4 планування,від 84.08 м²,від 1 202 $ за м²,від 101 022 $,5 планувань,від 84.08 м²,від 1 202 $ за м²,від 101 022 $,4 планування,від 84.08 м²,від 1 202 $ за м²,від 101 022 $,None,Сирець 37 хв Дорогожичі 41 хв Берестейська 45 хв ,"3 хв Київська Морська Школа на Виноградарі 3 хв Дитячий садок ""Валентинка"" 4 хв Центр раннього розвитку дітей ""Солтік""",3 хв Медичний центр Soft Medical 10 хв Сімейна стоматологія. 10 хв Медичний центр СантаЛен,"5 хв Торговий центр ""Retroville"" 12 хв Інтернет магазин ""Одевашка""",7 хв Парк Фонтан 11 хв Сквер,"18 хв вул. Івана Кавалерідзе 43 хв Автостанція ""Полісся"" (платформа №4)",,,https://dom.ria.com/uk/novostroyka-zhk-varshavskyi-2-7398/
Київ,метро Позняки,Дарницький,ЖК 31 (31-З),Клас комфорт,3 квартири,від 93.7 м²,від 1 230 $ за м²,від 118 062 $,7 квартир,від 93.7 м²,від 1 230 $ за м²,від 118 062 $,9 квартир,від 93.7 м²,від 1 230 $ за м²,від 118 062 $,None,Позняки 9 хв Харківська 18 хв Осокорки 24 хв ,"4 хв Школа англійської мови ""Green Country"" 6 хв Освітній центр. Репетитори та підготовка до ЗНО ""Best Repetitor"" 8 хв Гімназія №315 (з поглибленим вивченням іноземних мов)","4 хв Медичний центр ""Альтернатива"" 10 хв Клініка ""Вемар"" (гінекологія) 11 хв Медичний центр ""Агапіт""","6 хв Салон краси ""Studio-Laser"" 6 хв ТЦ «Центрум»","5 хв Парк «Позняки» 5 хв Фонтан ""Закоханих""",13 хв ст. м. Позняки 15 хв ст. м. Харківська 20 хв вул. Срібнокільська,,,https://dom.ria.com/uk/novostroyka-zhk-31-7636/
Київ,метро Нивки,Святошинський,ЖК Нивки-Парк (Nivki-Park),Клас комфорт,6 планувань,від 83.39 м²,від 1 320 $ за м²,від 111 302 $,4 планування,від 83.39 м²,від 1 320 $ за м²,від 111 302 $,3 планування,від 83.39 м²,від 1 320 $ за м²,від 111 302 $,Всі секції,Нивки 5 хв Берестейська 19 хв Святошин 21 хв ,"1 хв Канадський дитячий садок ""Тотоша"" 3 хв Школа Alif School 14 хв PR-агентство, Курси SEO","7 хв Клініка Медейра Нивки 14 хв Приватна Клініка ""Nodus"" 15 хв Медичний центр Данила Зубицького","1 хв Торговый центр ""SEMIN Украина"" 7 хв Торговий центр - Відділ Продажу ТОВ ""Рвк Декор"" 42 хв Фотостудія ""MonochromeKyivStudio""","6 хв СТ ""ЕНЕРГОБУДІВЕЛЬНИК"" 13 хв Парк розваг ""Нивки""",8 хв ст. м. Нивки 18 хв ст. м. Святошин 22 хв ст. м. Берестейська,,,https://dom.ria.com/uk/novostroyka-zhk-nyvky-park-4428/
Київ,"метро Палац ""Україна""",Печерський,ЖК Greenville на Печерську,Клас бізнес,12 квартир,від 105 м²,від 1 882 $ за м²,від 197 610 $,36 квартир,від 105 м²,від 1 882 $ за м²,від 197 610 $,2 квартири,від 105 м²,від 1 882 $ за м²,від 197 610 $,Всі секції,"Палац ""Україна"" 8 хв Либідська 16 хв Печерська 20 хв ","3 хв Школа вокала ""KievArtMusic"" 6 хв Inkamusic Studio 6 хв Школа вокала Vocal World","4 хв Приватна клініка ""Медіком"" 9 хв Амбулаторія №5, КНП ""ЦПМСД"" Печерського району 10 хв Амбулаторія Сімейної Медицини Печерського р-ну 14 хв Стоматологічна клініка ""Анна-Дент""","5 хв ТЦ ""Good Life"" 13 хв Магазин одягу ""Sendeli""",10 хв Сквер на Тверському тупику 11 хв Парк Заньковецької,10 хв ст. м. Палац «Україна»,,,https://dom.ria.com/uk/novostroyka-zhk-greenville-na-pechersku-7042/
Київ,"метро Палац ""Україна""",Печерський,ЖК Alter Ego (Альтер Его),Клас комфорт,1 квартира,від 6 м²,від 2 016 $ за м²,від 13 617 $,1 планування,від 6 м²,від 2 016 $ за м²,від 13 617 $,2 планування,від 6 м²,від 2 016 $ за м²,від 13 617 $,None,"Палац ""Україна"" 12 хв Олімпійська 17 хв Печерська 19 хв ",2 хв Заброшенное здание 13 хв Національний університет фізичного виховання і спорту України,"1 хв Стоматологічна клініка ""Impress Kyiv"" 1 хв Київська міська клінічна лікарня №17 8 хв Медична клініка «BSMedical» 9 хв Лікарня ""Respiratory Hospital"" 9 хв Стоматологічна клініка ""Анна-Дент""","1 хв Центр цифрового друку «Карбон Сервіс» 15 хв Магазин одягу ""Sendeli"" 17 хв Послуги з ремонту ""Linx Service""",13 хв Парк Поліцейський скверик 16 хв Сквер на Тверському тупику,13 хв ст. м. Палац «Україна»,,,https://dom.ria.com/uk/novostroyka-zhk-alter-ego-5221/
Київ,метро Печерська,"бул. Миколи Міхновського(Дружби Народів), 13а",ЖК Aria (Арія),Клас бізнес,3 планування,від 112.96 м²,від 1 736 $ за м²,від 196 042 $,4 планування,від 112.96 м²,від 1 736 $ за м²,від 196 042 $,4 планування,від 112.96 м²,від 1 736 $ за м²,від 196 042 $,None,Печерська 11 хв Дружби народів 11 хв Либідська 26 хв ,2 хв Курсы телеведущих Media Start 5 хв London International Agency 8 хв Арт студія «Художня Майстерня»,7 хв Вита-Дент Стоматологічний центр 8 хв Женская Консультация. Центральная Поликлиника Печерского Района. 16 хв Київський міський психоневрологічний диспансер №2,"7 хв Torgshop.com.ua - магазин садових меблів 8 хв Походи в Карпати, рафтинг Південний Буг, Черемош в Карпатах - Extreem-Weekend 10 хв Торговий центр - VDR.com.ua - верстати, обладнання та садова техніка 12 хв Торговий центр ""Дім Покупок"" 14 хв Торговий центр SWEETBOX Show Room","11 хв Сквер ""Дружби народів""",8 хв вул. Бастіонна 10 хв ст. м. Дружби народів,,,https://dom.ria.com/uk/novostroyka-zhk-aria-6760/
Київ,метро Іподром,Голосіївський,ЖК Кришталеві джерела,Клас комфорт,21 планування,від 84.13 м²,від 1 495 $ за м²,від 125 791 $,16 планувань,від 84.13 м²,від 1 495 $ за м²,від 125 791 $,2 планування,від 84.13 м²,від 1 495 $ за м²,від 125 791 $,None,Іподром 36 хв Виставковий центр 41 хв Теремки 43 хв ,"4 хв Дитячий садок «The Kinder» 5 хв Дитячий садок ""CrystalKids"" 9 хв Школа-інтернат №7 для дітей з важкими вадами мовлення 20 хв Дитячий клуб інтелектуального розвитку та дозвілля ""Казка""","1 хв Медичний центр ""Сучасна Медицина"" 1 хв Медичний центр ""Юстум Мед"" 1 хв Медичний центр ""EmCell""","33 хв Туристична агенція «eQuator» 38 хв Торгово-виставковий центр ""INTERIOR OUTLET""",8 хв Автодром «Феофанія»,"15 хв ст. м. ""Теремки"" 52 хв ст. м. ""Виставковий центр""",,,https://dom.ria.com/uk/novostroyka-zhk-kryshtalevi-dzherela-6841/
Київ,метро Іподром,Голосіївський,Клубний квартал Феофанія-park,Клас комфорт,44 квартири,від 88.75 м²,від 1 415 $ за м²,від 133 237 $,41 квартира,від 88.75 м²,від 1 415 $ за м²,від 133 237 $,11 квартир,від 88.75 м²,від 1 415 $ за м²,від 133 237 $,Всі секції,Іподром 35 хв Виставковий центр 42 хв Теремки 43 хв ,"3 хв Дитячий садок ""CrystalKids"" 4 хв Дитячий садок «The Kinder» 10 хв Школа-інтернат №7 для дітей з важкими вадами мовлення 22 хв Дитячий клуб інтелектуального розвитку та дозвілля ""Казка""","2 хв Медичний центр ""Сучасна Медицина"" 2 хв Медичний центр ""Юстум Мед"" 2 хв Медичний центр ""EmCell""","35 хв Туристична агенція «eQuator» 40 хв Торгово-виставковий центр ""INTERIOR OUTLET""",10 хв Автодром «Феофанія»,"17 хв ст. м. ""Теремки"" 53 хв ст. м. ""Виставковий центр""",,,https://dom.ria.com/uk/novostroyka-klubnyi-kvartal-feofaniia-park-6845/
Київ,метро Теремки,Голосіївський,ЖК Авеню 42 (Avenue 42),Клас комфорт,6 планувань,від 25.62 м²,від 1 228 $ за м²,від 34 203 $,5 планувань,від 25.62 м²,від 1 228 $ за м²,від 34 203 $,5 планувань,від 25.62 м²,від 1 228 $ за м²,від 34 203 $,None,Теремки 14 хв Іподром 13 хв Виставковий центр 18 хв ,"21 хв Вальдорфський садок ""Сонях"" 21 хв Громадська Школа ""Квінта"" 22 хв Вальдорфська школа ""Світовид""","14 хв Амбулаторія №7, КНП ""ЦПМСД №1"" Голосіївського району 36 хв Медичний центр «SovaKlinik»","12 хв ТРЦ ""Art mall"" 14 хв Садовий центр ""ФЛОРА МАРТ"" 36 хв Торгово-виставковий центр ""INTERIOR OUTLET""","12 хв Парк ""Теремки"" 17 хв Парк 22 хв Алея урочища ""Теремки""",38 хв вул. Амбулаторна,,,https://dom.ria.com/uk/novostroyka-zhk-aveniu-42-7734/
Київ,Дніпровський,"вул. Гродненська, 14-А",ЖК Дніпровський,Клас комфорт,4 квартири,від 12 м²,від 854 $ за м²,від 10 253 $,1 планування,від 12 м²,від 854 $ за м²,від 10 253 $,1 планування,від 12 м²,від 854 $ за м²,від 10 253 $,None,None,"6 хв Дитячий клуб ""Успіх"" 6 хв Заклад дошкільної освіти №455 6 хв Заклад дошкільної освіти №680 9 хв Школа ITCG","6 хв Поліклінічне Відділення #1 Центральної Дитячої Поліклініки Дніпровського р-ну 6 хв Дитяча поліклініка 9 хв Лікарня ""genisyslife""","8 хв Торгівельний центр ""Прага""",6 хв Сквер,"26 хв пл. Дарницька 36 хв станція Дарниця 37 хв Залізничний вокзал ""Дарниця""",,,https://dom.ria.com/uk/novostroyka-zhk-dniprovskyi-8630/
Київ,метро Дружби народів,Печерський,ЖК Новопечерські Липки,Клас бізнес,10 планувань,від 131.82 м²,від 2 650 $ за м²,від 349 323 $,11 планувань,від 131.82 м²,від 2 650 $ за м²,від 349 323 $,7 планувань,від 131.82 м²,від 2 650 $ за м²,від 349 323 $,Всі секції,Дружби народів 18 хв Либідська 28 хв Видубичі 30 хв ,"7 хв Академія англійської мови ""STUDY Academy""","2 хв Медичний центр здоров'я родини ""Добробут"" 6 хв Медичний центр ""VERDE Medical Clinic"" 7 хв Клініка пластичної хірургії ""Vivamedical Aesthetic Club"" 7 хв Дитяча клінічна лікарня №7","13 хв Торговий центр ""Навігатор"" 18 хв Супермаркет ""Сільпо"" 24 хв Супермаркет ""Фуршет""","8 хв Парк ""Новопечерські Липки"" 14 хв Сквер “Дружби народів” 15 хв Парк ""Шашель Вуд""",15 хв ст. м. Дружби Народів 28 хв Станція Київ-Деміївський,9 хв Новопечерська школа 11 хв Британська міжнародна школа,"1 хв Приватний дитячий садок ""Монтессорі на Липках"" 7 хв Дитячий садок ""LeapKids""",https://dom.ria.com/uk/novostroyka-zhk-novopecherski-lypky-3246/
Київ,метро Берестейська,Солом'янський,ЖК Берестейський,Клас комфорт,2 квартири,від 122.7 м²,від 1 250 $ за м²,від 157 445 $,9 квартир,від 122.7 м²,від 1 250 $ за м²,від 157 445 $,14 квартир,від 122.7 м²,від 1 250 $ за м²,від 157 445 $,Всі секції,Берестейська 4 хв Нивки 17 хв Шулявська 24 хв ,"7 хв Гімнастичний центр ""Jumping Hall""","17 хв Міжнародний медичний центр ""УРО-ПРО"" 18 хв Медичний центр «Добробут» 19 хв Медичний центр ""Лікарські традиції""","16 хв Компанія-розробник програмного забезпечення Astound Commerce 17 хв Торговий центр ""АНТ"" 18 хв Торговый центр ""SEMIN Украина""","9 хв Парк ""Нивки"" 10 хв Парк розваг ""Нивки"" 10 хв Кінний клуб ""Родео""",6 хв ст. м. Берестейська 16 хв ст. м. Нивки,,7 хв Дитячий садок № 530 12 хв Дитячий садок №79,https://dom.ria.com/uk/novostroyka-zhk-beresteiskyi-3277/
Київ,метро Оболонь,Подільський,ЖК Паркове місто,Клас бізнес,2 квартири,від 92.01 м²,від 1 400 $ за м²,від 128 842 $,11 квартир,від 92.01 м²,від 1 400 $ за м²,від 128 842 $,5 квартир,від 92.01 м²,від 1 400 $ за м²,від 128 842 $,Всі секції,Оболонь 21 хв Мінська 24 хв Героїв Дніпра 35 хв ,"2 хв Частный детский сад Baby House 4 хв KidsPark 9 хв Заклад дошкільної освіти №598 ""Світлячок""",,"1 хв Супермаркет ""VARUS"" 15 хв Ательє з пошиття та ремонту одягу La Fason 18 хв Магазин побутової техніки ""Алгоритм"" 21 хв AvtoFace - Ремонт Лобового скла, Тонування, Хімчистка Салона",6 хв Сквер 9 хв Парк,"19 хв Автостанція ""Полісся"" (платформа №4)",,,https://dom.ria.com/uk/novostroyka-zhk-parkove-misto-3336/
Київ,метро Житомирська,Святошинський,ЖК Святобор,Клас комфорт,173 квартири,від 79.97 м²,від 1 250 $ за м²,від 99 963 $,130 квартир,від 79.97 м²,від 1 250 $ за м²,від 99 963 $,65 квартир,від 79.97 м²,від 1 250 $ за м²,від 99 963 $,None,Житомирська 13 хв Святошин 16 хв Академмістечко 19 хв ,"2 хв Освітній центр ""LESSONS"" - підготовка до вступу у закордонні коледжі та університети 2 хв MazeЛаб - простір для розумного дозвілля дітей та дорослих","5 хв Медичний центр ""Good Cells"" 10 хв Амбулаторне відділення для лікування хворих ""Соціотерапія"" 10 хв Медичний центр ""Ешмун""","9 хв ""Барвінок""- продукти, трикотаж, іграшки, канцтовари, кав'ярня 14 хв Торговий центр ""VMB"" -сімейний торговий центр 15 хв Київський офіс Харківського м'ясокомбінату",4 хв Сквер львівських митців 5 хв Парк особняка Віри Гудшон 9 хв Парк,"12 хв ст. м. Святошин 23 хв Автостанція ""Дачна"" 24 хв ст. м. Академмістечко",,"2 хв Дитячий садок ""Kinder Town""",https://dom.ria.com/uk/novostroyka-zhk-sviatobor-3361/
Київ,"метро Палац ""Україна""",Печерський,ЖК Престиж Холл (Prestige Hall),Клас елітні,None,None,None,None,None,None,None,None,None,None,None,None,None,"Палац ""Україна"" 6 хв Либідська 14 хв Печерська 21 хв ","2 хв Ле Ронда школа кізомби 3 хв Школа вокала ""KievArtMusic""","3 хв Приватна клініка ""Медіком"" 6 хв Наркологічний кабінет доктора Соловйова Михайла Михайловича 11 хв Стоматологічна клініка ""Анна-Дент""","4 хв Дорослий магазин ""ZaIntim.com"" 7 хв ТЦ ""Good Life"" 9 хв Магазин одягу ""Marco Zarini"" 10 хв Торговий центр ""LUXON ШОУ-РУМ СВІТЛА"" 13 хв Супермаркет ""Сільпо""",7 хв Парк Заньковецької 12 хв Сквер на Тверському тупику,7 хв ст. м. Палац «Україна»,,,https://dom.ria.com/uk/novostroyka-zhk-prestyzh-kholl-3488/
Київ,метро Мінська,"просп. Оболонський, 26",ЖК Obolon Residences (Оболонь Резіденсіс),Клас елітні,2 квартири,None,None,None,None,None,None,None,None,None,None,None,None,Мінська 5 хв Героїв Дніпра 13 хв Оболонь 21 хв ,"3 хв Онлайн-школа іноземних мов «Мультіглот» 4 хв Школа англійської мови ""Simon's Friends""","5 хв Медичний центр ""Дитина"" 7 хв Стоматологічна клініка ""Family Smile"" 8 хв Консультативно-діагностичний центр Оболонського району","2 хв Магазин спортивних товарів ""Батискаф-міні"" 5 хв ТРЦ ""Smart Plaza Obolon"" 6 хв ТРЦ “Dream Town 2” 6 хв Продуктовий магазин ""Молоко від фермера"" 7 хв Дистриб'юторний центр ""Tupperware"" 22 хв Магазин товарів для дітей ""Чікко""",5 хв Парк на Мінській 5 хв Меморіал Лицарям і Лицаркам Небесної Сотні,2 хв ст. м. Мінська 12 хв ст. м. Героїв Дніпра,,,https://dom.ria.com/uk/novostroyka-zhk-obolon-residences-3509/
